id,name,country,date,clouds,humidity,lat,lon,temp_max,wind_speed
5192726,Harrisburg,US,1551891181,90,67,40.27,-76.89,24.01,10.29
3471849,Aracoiaba da Serra,BR,1551890762,56,82,-23.51,-47.61,90.0,1.01
2122605,Okhotsk,RU,1551891189,0,100,59.36,143.24,1.25,3.98
2027244,Bagdarin,RU,1551891189,0,47,54.44,113.59,3.32,2.19
534313,Lomovka,RU,1551886200,90,74,53.92,58.37,35.6,24.61
2290956,Bouake,CI,1551888000,40,32,7.69,-5.02,96.8,4.7
2512186,Puerto del Rosario,ES,1551889800,20,53,28.5,-13.86,71.6,19.46
5267537,Plover,US,1551891118,1,66,44.46,-89.54,17.6,8.05
5606187,Saint Anthony,US,1551891021,75,80,43.97,-111.68,37.0,5.82
4036284,Alofi,NU,1551888000,12,94,-19.06,-169.92,73.4,5.82
5859699,College,US,1551891017,75,85,64.86,-147.8,24.8,3.65
6322184,Porto Novo,BR,1551888000,20,55,-23.68,-45.44,86.0,2.24
3462374,Goias,BR,1551891023,64,84,-15.93,-50.14,80.86,4.54
2027296,Aykhal,RU,1551891191,48,67,65.95,111.51,16.19,12.37
58933,Garowe,SO,1551891192,0,41,8.41,48.48,81.62,12.82
161154,Biharamulo,TZ,1551891192,44,91,-2.64,31.31,62.27,2.64
1252810,Yairipok,IN,1551891192,56,84,24.67,94.07,57.86,2.42
2122493,Omsukchan,RU,1551891192,36,77,62.53,155.8,-14.1,2.64
1805733,Jinchang,CN,1551891193,12,96,38.52,102.19,17.41,4.88
3547867,Manzanillo,CU,1551891193,0,100,20.34,-77.12,80.18,9.69
3894426,Coihaique,CL,1551888000,90,93,-45.58,-72.07,53.6,2.24
3437443,Pozo Colorado,PY,1551891193,8,66,-23.49,-58.8,93.91,12.03
2178753,Kirakira,SB,1551891194,88,97,-10.46,161.92,83.87,10.8
124291,Mehran,IR,1551888000,0,70,33.12,46.17,46.4,9.17
5536630,Cedar City,US,1551890775,90,100,37.68,-113.06,44.01,16.11
1056151,Mananjary,MG,1551891194,80,96,-19.16,46.8,60.47,2.75
521123,Nizhneivkino,RU,1551891194,76,88,58.19,49.52,18.94,21.54
2015842,Mikhaylovka,RU,1551891195,12,74,52.96,103.29,20.06,3.98
1637001,Biak,ID,1551891195,64,100,-0.91,122.88,77.12,2.08
1494941,Pirovskoye,RU,1551891195,64,85,57.63,92.27,21.5,3.76
2980080,Saint-Francois,FR,1551890785,0,58,46.42,3.91,57.2,20.8
543728,Kotelnikovo,RU,1551891196,76,86,47.63,43.14,36.94,4.76
3576994,Cockburn Town,TC,1551891196,0,98,21.46,-71.14,79.1,4.99
2968771,Villefontaine,FR,1551891187,0,44,45.61,5.16,62.6,17.22
1529484,Hami,CN,1551891196,8,68,42.84,93.51,34.69,2.98
1650077,Banyuwangi,ID,1551891197,92,100,-8.21,114.37,77.66,6.67
2093059,Kundiawa,PG,1551891197,88,94,-6.02,144.97,56.74,1.86
2177254,Bagotville,AU,1551890914,20,88,-28.98,153.42,73.4,2.24
1631766,Pekalongan,ID,1551891197,92,100,-6.89,109.67,82.52,10.69
2013279,Vostok,RU,1551891198,0,54,46.45,135.83,2.42,2.08
2071059,Gawler,AU,1551891129,0,71,-34.6,138.75,53.01,4.0
615776,Ambrolauri,GE,1551889800,90,66,42.52,43.15,53.6,6.93
4004293,Ixtapa,MX,1551891013,20,57,20.71,-105.21,75.99,2.24
1640660,Gondanglegi,ID,1551891199,92,96,-7.75,112.01,69.34,3.98
1852357,Shimoda,JP,1551890541,92,93,34.7,138.93,46.0,1.01
4945840,Northborough,US,1551891095,1,31,42.32,-71.64,26.01,14.99
3389822,Salinopolis,BR,1551891199,88,100,-0.61,-47.36,76.49,9.01
3430443,Necochea,AR,1551890890,0,51,-38.55,-58.74,84.0,5.01
64013,Bosaso,SO,1551891200,0,100,11.28,49.18,77.21,1.63
6078372,Moose Factory,CA,1551888000,75,77,51.26,-80.61,-0.41,9.17
1622318,Waingapu,ID,1551891200,88,99,-9.65,120.26,75.77,2.75
2685750,Ostersund,SE,1551891099,0,61,63.18,14.64,15.8,4.7
2269142,Colares,PT,1551891151,75,71,38.8,-9.45,59.0,20.8
464790,Zapolyarnyy,RU,1551889200,20,66,69.43,30.82,15.8,18.34
4002745,Pueblo Nuevo,MX,1551891201,8,40,23.99,-106.96,81.35,2.98
4031637,Lavrentiya,RU,1551891010,12,100,65.58,-170.99,9.71,5.99
